SIMAN Run Controller.

4.9335 Hours>SIMAN Run Controller.

8.2335 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 8.2335 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 144.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 103.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Batch 22.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 99.Queue.NumberInQueue                 .26516     (Insuf)    .00000     1.0000     .00000    
Hold 32.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 58.Queue.NumberInQueue                 15.070     (Insuf)    .00000     32.000     3.0000    
Hold 108.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 36.Queue.NumberInQueue              .00589     (Insuf)    .00000     1.0000     .00000    
Batch 27.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 40.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 116.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 86.Queue.NumberInQueue                 .55869     (Insuf)    .00000     1.0000     .00000    
Process 52.Queue.NumberInQueue              .56104     (Insuf)    .00000     3.0000     3.0000    
Hold 94.Queue.NumberInQueue                 .00405     (Insuf)    .00000     1.0000     .00000    
Hold 53.Queue.NumberInQueue                 .22836     (Insuf)    .00000     1.0000     .00000    
Hold 61.Queue.NumberInQueue                 16.953     (Insuf)    .00000     32.000     22.000    
Hold 111.Queue.NumberInQueue                18.357     (Insuf)    .00000     32.000     32.000    
Hold 137.Queue.NumberInQueue                5.1335     (Insuf)    .00000     22.000     22.000    
Process 24.Queue.NumberInQueue              303.39     (Insuf)    .00000     351.00     285.00    
Hold 25.Queue.NumberInQueue                 1.0101     (Insuf)    .00000     100.00     .00000    
Hold 124.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 109.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 37.Queue.NumberInQueue              .29496     (Insuf)    .00000     2.0000     .00000    
Hold 38.Queue.NumberInQueue                 13.798     (Insuf)    .00000     341.00     .00000    
Hold 140.Queue.NumberInQueue                3.0586     (Insuf)    .00000     22.000     22.000    
Match 7.Queue1.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Match 7.Queue2.NumberInQueue                4.2402     (Insuf)    .00000     341.00     .00000    
Match 7.Queue3.NumberInQueue                13.798     (Insuf)    .00000     341.00     .00000    
Hold 54.Queue.NumberInQueue                 .28139     (Insuf)    .00000     1.0000     1.0000    
Hold 104.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 32.Queue.NumberInQueue              .00000     (Insuf)    .00000     3.0000     .00000    
Batch 23.Queue.NumberInQueue                .93925     (Insuf)    .00000     18.000     18.000    
Hold 62.Queue.NumberInQueue                 21.000     (Insuf)    .00000     33.000     7.0000    
Hold 112.Queue.NumberInQueue                12.645     (Insuf)    .00000     24.000     24.000    
Hold 59.Queue.NumberInQueue                 27.772     (Insuf)    .00000     35.000     35.000    
Process 25.Queue.NumberInQueue              .55869     (Insuf)    .00000     1.0000     .00000    
Batch 16.Queue.NumberInQueue                24.629     (Insuf)    .00000     92.000     32.000    
Hold 120.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 26.Queue.NumberInQueue                 .45455     (Insuf)    .00000     45.000     .00000    
Hold 117.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 34.Queue.NumberInQueue                 .53442     (Insuf)    .00000     1.0000     1.0000    
Process 53.Queue.NumberInQueue              .05672     (Insuf)    .00000     2.0000     2.0000    
Hold 133.Queue.NumberInQueue                10.728     (Insuf)    .00000     25.000     25.000    
Hold 39.Queue.NumberInQueue                 9.5582     (Insuf)    .00000     315.00     .00000    
Hold 138.Queue.NumberInQueue                5.2630     (Insuf)    .00000     25.000     25.000    
Hold 55.Queue.NumberInQueue                 .29151     (Insuf)    .00000     1.0000     1.0000    
Hold 105.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 33.Queue.NumberInQueue              .00000     (Insuf)    .00000     3.0000     .00000    
Batch 24.Queue.NumberInQueue                11.525     (Insuf)    .00000     60.000     .00000    
Hold 113.Queue.NumberInQueue                .25904     (Insuf)    .00000     7.0000     4.0000    
Process 1.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Hold 83.Queue.NumberInQueue                 .34210     (Insuf)    .00000     1.0000     .00000    
Hold 42.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 27.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 118.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 50.Queue.NumberInQueue                 21.928     (Insuf)    .00000     47.000     .00000    
Hold 141.Queue.NumberInQueue                1.1376     (Insuf)    .00000     9.0000     9.0000    
Hold 100.Queue.NumberInQueue                .39673     (Insuf)    .00000     1.0000     .00000    
Hold 63.Queue.NumberInQueue                 2.2672     (Insuf)    .00000     5.0000     .00000    
Hold 48.Queue.NumberInQueue                 26.491     (Insuf)    .00000     46.000     33.000    
Hold 139.Queue.NumberInQueue                4.2610     (Insuf)    .00000     25.000     25.000    
Process 26.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 17.Queue.NumberInQueue                1.3764     (Insuf)    .00000     20.000     .00000    
Hold 121.Queue.NumberInQueue                .05868     (Insuf)    .00000     1.0000     .00000    
Hold 106.Queue.NumberInQueue                .25710     (Insuf)    .00000     2.0000     2.0000    
Process 34.Queue.NumberInQueue              .00000     (Insuf)    .00000     2.0000     .00000    
Batch 25.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 2.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Hold 84.Queue.NumberInQueue                 .43724     (Insuf)    .00000     1.0000     .00000    
Hold 134.Queue.NumberInQueue                7.2751     (Insuf)    .00000     21.000     21.000    
Hold 119.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 92.Queue.NumberInQueue                 .16801     (Insuf)    .00000     1.0000     .00000    
Hold 51.Queue.NumberInQueue                 .09678     (Insuf)    .00000     1.0000     1.0000    
Hold 142.Queue.NumberInQueue                .93925     (Insuf)    .00000     18.000     18.000    
Hold 101.Queue.NumberInQueue                .48177     (Insuf)    .00000     1.0000     1.0000    
Batch 20.Queue.NumberInQueue                20.303     (Insuf)    .00000     92.000     .00000    
Hold 56.Queue.NumberInQueue                 .35829     (Insuf)    .00000     1.0000     .00000    
Hold 114.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 27.Queue.NumberInQueue              .23279     (Insuf)    .00000     1.0000     .00000    
Batch 18.Queue.NumberInQueue                8.9775     (Insuf)    .00000     52.000     4.0000    
Hold 31.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 122.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Batch 26.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Batch 6.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 135.Queue.NumberInQueue                8.2387     (Insuf)    .00000     25.000     25.000    
Process 22.Queue.NumberInQueue              64.634     (Insuf)    .00000     111.00     20.000    
Hold 143.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 102.Queue.NumberInQueue                .10729     (Insuf)    .00000     1.0000     1.0000    
Hold 49.Queue.NumberInQueue                 .00974     (Insuf)    .00000     1.0000     .00000    
Batch 21.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 98.Queue.NumberInQueue                 .00000     (Insuf)    .00000     1.0000     .00000    
Hold 57.Queue.NumberInQueue                 .31773     (Insuf)    .00000     8.0000     4.0000    
Hold 107.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 115.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 28.Queue.NumberInQueue              .23279     (Insuf)    .00000     1.0000     .00000    
Match 6.Queue1.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Match 6.Queue2.NumberInQueue                .55556     (Insuf)    .00000     56.000     .00000    
Match 6.Queue3.NumberInQueue                1.0101     (Insuf)    .00000     100.00     .00000    
Batch 19.Queue.NumberInQueue                30.120     (Insuf)    .00000     120.00     .00000    
Hold 123.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 93.Queue.NumberInQueue                 .12753     (Insuf)    .00000     1.0000     .00000    
Hold 52.Queue.NumberInQueue                 17.649     (Insuf)    .00000     64.000     64.000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Entity 1.NumberIn                           2902.0    
Entity 1.NumberOut                          435.00    
Entity 2.NumberIn                           .00000    
Entity 2.NumberOut                          .00000    
Mezcladora1.NumberSeized                    92.000    
Mezcladora1.ScheduledUtilization            .99391    
Mezcladora2.NumberSeized                    72.000    
Mezcladora2.ScheduledUtilization            .99391    
Balanza1.NumberSeized                       93.000    
Balanza1.ScheduledUtilization               .99998    
balanza2.NumberSeized                       73.000    
balanza2.ScheduledUtilization               .99998    
Resource 3.NumberSeized                     .00000    
InspeccionF.NumberSeized                    5.0000    
InspeccionF.ScheduledUtilization            .18701    
InspeccionQ.NumberSeized                    5.0000    
InspeccionQ.ScheduledUtilization            .47453    
Pellet 16.NumberSeized                      205.00    
Pellet 16.ScheduledUtilization              .68757    
Pellet 17.NumberSeized                      212.00    
Pellet 17.ScheduledUtilization              .71524    
Llenado.NumberSeized                        6.0000    
Llenado.ScheduledUtilization                .31356    
Molino1.NumberSeized                        70.000    
Molino1.ScheduledUtilization                .70849    
Molino2.NumberSeized                        48.000    
Molino3.NumberSeized                        71.000    
Molino3.ScheduledUtilization                .71861    
Pellet 67.NumberSeized                      113.00    
Pellet 67.ScheduledUtilization              .56679    
System.NumberOut                            148.00    


Simulation run time: 4.02 minutes.
Simulation run complete.
