
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Batch 21.Queue.WaitingTime                  .53568     (Insuf)    .00000     1.0833         24    
Hold 98.Queue.WaitingTime                   .05993     (Insuf)    .00000     .15043          3    
Hold 57.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000         96    
Hold 148.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 107.Queue.WaitingTime                  4.6900     (Insuf)    1.0314     12.409          4    
Hold 156.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 115.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000        156    
Process 69.Queue.WaitingTime                .68525     (Insuf)    .00000     6.1495          9    
Process 28.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         80    
Match 6.Queue1.WaitingTime                  6.8815E-05 (Corr)     .00000     1.6667E-04    419    
Match 6.Queue2.WaitingTime                  .03674     (Corr)     .00000     .16650        419    
Match 6.Queue3.WaitingTime                  .07830     .01751     .00000     .16650        419    
Batch 19.Queue.WaitingTime                  1.1221     (Insuf)    .00000     2.1666         64    
Hold 123.Queue.WaitingTime                  .00000     .00000     .00000     .00000        336    
Hold 93.Queue.WaitingTime                   .08806     (Insuf)    6.3949E-14 .20000        173    
Hold 52.Queue.WaitingTime                   1.6281     (Corr)     .00000     4.4495        502    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

CapArconPASoya Value                        48.325     (Insuf)    48.325     48.325     48.325    
CapArconPAMaiz Value                        42.246     (Insuf)    42.246     42.246     42.246    
CapArconPAFrijol Value                      45.974     (Insuf)    45.974     45.974     45.974    
estado pellet 16                            .00000     (Insuf)    .00000     .00000     .00000    
estado mezcladora1                          .00000     (Insuf)    .00000     .00000     .00000    
estado mezcladora2                          .00000     (Insuf)    .00000     .00000     .00000    
estado molino1                              .00000     (Insuf)    .00000     .00000     .00000    
estado molino2                              .00000     (Insuf)    .00000     .00000     .00000    
estadopellet 17                             .00000     (Insuf)    .00000     .00000     .00000    
estado pellet 67                            .00000     (Insuf)    .00000     .00000     .00000    
Entity 1.WIP                                1339.4     (Corr)     .00000     3524.0     166.00    
Entity 2.WIP                                .00000     (Insuf)    .00000     .00000     .00000    
Mezcladora1.NumberBusy                      .52189     (Insuf)    .00000     1.0000     1.0000    
Mezcladora1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora1.Utilization                     .52189     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberBusy                      .45910     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora2.Utilization                     .45910     (Insuf)    .00000     1.0000     1.0000    
Balanza1.NumberBusy                         .46605     (Insuf)    .00000     1.0000     .00000    
Balanza1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Balanza1.Utilization                        .46605     (Insuf)    .00000     1.0000     .00000    
balanza2.NumberBusy                         .39657     (Insuf)    .00000     1.0000     .00000    
balanza2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
balanza2.Utilization                        .39657     (Insuf)    .00000     1.0000     .00000    
InspeccionF.NumberBusy                      .28286     (Insuf)    .00000     1.0000     .00000    
