
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 98.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          2    
Hold 57.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000        101    
Hold 148.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 107.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          4    
Hold 156.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 115.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000        156    
Process 69.Queue.WaitingTime                1.5769     (Insuf)    .00000     9.4614          6    
Process 28.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         82    
Match 6.Queue1.WaitingTime                  .01095     (Corr)     .00000     .03100        419    
Match 6.Queue2.WaitingTime                  .03003     (Corr)     .00000     .16520        419    
Match 6.Queue3.WaitingTime                  .05216     (Corr)     .00000     .16520        419    
Batch 19.Queue.WaitingTime                  1.3744     (Insuf)    .00000     2.6666         64    
Hold 123.Queue.WaitingTime                  .00000     .00000     .00000     .00000        336    
Hold 93.Queue.WaitingTime                   .09220     (Insuf)    .01434     .20000         82    
Hold 52.Queue.WaitingTime                   .86055     (Insuf)    .00000     2.7871        302    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

CapArconPASoya Value                        48.325     (Insuf)    48.325     48.325     48.325    
CapArconPAMaiz Value                        42.246     (Insuf)    42.246     42.246     42.246    
CapArconPAFrijol Value                      45.974     (Insuf)    45.974     45.974     45.974    
estado pellet 16                            .05937     (Insuf)    .00000     1.0000     .00000    
estado mezcladora1                          .06906     (Insuf)    .00000     1.0000     .00000    
estado mezcladora2                          .64916     (Corr)     .00000     1.0000     1.0000    
estado molino1                              .01161     (Insuf)    .00000     1.0000     .00000    
estado molino2                              .03983     (Insuf)    .00000     1.0000     .00000    
estadopellet 17                             .00130     (Insuf)    .00000     1.0000     .00000    
estado pellet 67                            .00316     (Insuf)    .00000     1.0000     .00000    
Entity 1.WIP                                1667.7     (Corr)     .00000     3551.0     176.00    
Entity 2.WIP                                .00000     (Insuf)    .00000     .00000     .00000    
Mezcladora1.NumberBusy                      .51181     (Insuf)    .00000     1.0000     1.0000    
Mezcladora1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora1.Utilization                     .51181     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberBusy                      .35084     (Corr)     .00000     1.0000     .00000    
Mezcladora2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora2.Utilization                     .35084     (Corr)     .00000     1.0000     .00000    
Balanza1.NumberBusy                         .48873     (Insuf)    .00000     1.0000     .00000    
Balanza1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Balanza1.Utilization                        .48873     (Insuf)    .00000     1.0000     .00000    
balanza2.NumberBusy                         .98369     (Insuf)    .00000     1.0000     .00000    
balanza2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
balanza2.Utilization                        .98369     (Insuf)    .00000     1.0000     .00000    
InspeccionF.NumberBusy                      .27857     (Insuf)    .00000     1.0000     1.0000    
InspeccionF.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionF.Utilization                     .27857     (Insuf)    .00000     1.0000     1.0000    
InspeccionQ.NumberBusy                      .86736     (Insuf)    .00000     1.0000     1.0000    
InspeccionQ.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionQ.Utilization                     .86736     (Insuf)    .00000     1.0000     1.0000    
Pellet 16.NumberBusy                        1.1642     (Corr)     .00000     3.0000     2.0000    
Pellet 16.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 16.Utilization                       .38809     (Corr)     .00000     1.0000     .66667    
Pellet 17.NumberBusy                        1.4234     (Corr)     .00000     3.0000     1.0000    
Pellet 17.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 17.Utilization                       .47449     (Corr)     .00000     1.0000     .33333    
Llenado.NumberBusy                          .97043     (Insuf)    .00000     1.0000     1.0000    
Llenado.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Llenado.Utilization                         .97043     (Insuf)    .00000     1.0000     1.0000    
Empaque1.NumberBusy                         .56944     (Insuf)    .00000     1.0000     .00000    
Empaque1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Empaque1.Utilization                        .56944     (Insuf)    .00000     1.0000     .00000    
Empaque2.NumberBusy                         .54167     (Insuf)    .00000     1.0000     .00000    
Empaque2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Empaque2.Utilization                        .54167     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberBusy                          .09167     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino1.Utilization                         .09167     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberBusy                          .08194     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino2.Utilization                         .08194     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberBusy                          .05694     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino3.Utilization                         .05694     (Insuf)    .00000     1.0000     .00000    
Pellet 67.NumberBusy                        .63167     (Insuf)    .00000     2.0000     1.0000    
Pellet 67.NumberScheduled                   2.0000     (Insuf)    2.0000     2.0000     2.0000    
Pellet 67.Utilization                       .31584     (Insuf)    .00000     1.0000     .50000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 60.Queue.NumberInQueue                 19.111     (Insuf)    .00000     34.000     .00000    
Hold 151.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 110.Queue.NumberInQueue                8.9817     (Insuf)    .00000     34.000     .00000    
Hold 136.Queue.NumberInQueue                .53602     (Insuf)    .00000     26.000     .00000    
Process 64.Queue.NumberInQueue              .00867     (Insuf)    .00000     1.0000     .00000    
Process 23.Queue.NumberInQueue              .29669     (Corr)     .00000     1.0000     .00000    
Hold 144.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 103.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Batch 22.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 99.Queue.NumberInQueue                 .00000     (Insuf)    .00000     1.0000     .00000    
Hold 32.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 58.Queue.NumberInQueue                 25.394     (Insuf)    .00000     34.000     7.0000    
Hold 149.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 108.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 77.Queue.NumberInQueue              3.3458     (Insuf)    .00000     16.000     .00000    
Process 36.Queue.NumberInQueue              .95594     (Insuf)    .00000     14.000     3.0000    
Batch 27.Queue.NumberInQueue                17.704     (Insuf)    .00000     212.00     .00000    
Hold 40.Queue.NumberInQueue                 .12222     (Insuf)    .00000     18.000     .00000    
Hold 157.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 116.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 86.Queue.NumberInQueue                 .85494     (Corr)     .00000     1.0000     .00000    
Hold 94.Queue.NumberInQueue                 .08219     (Insuf)    .00000     1.0000     .00000    
Hold 53.Queue.NumberInQueue                 .86025     (Insuf)    .00000     1.0000     1.0000    
Hold 61.Queue.NumberInQueue                 13.713     (Insuf)    .00000     34.000     .00000    
Hold 152.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 111.Queue.NumberInQueue                5.3001     (Insuf)    .00000     33.000     .00000    
Hold 137.Queue.NumberInQueue                1.4321     (Insuf)    .00000     26.000     .00000    
Process 65.Queue.NumberInQueue              4.7507E-05 (Insuf)    .00000     1.0000     .00000    
Process 24.Queue.NumberInQueue              150.70     (Corr)     .00000     291.00     .00000    
Batch 30.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 160.Queue.NumberInQueue                .66525     (Insuf)    .00000     3.0000     .00000    
Hold 25.Queue.NumberInQueue                 .14388     (Insuf)    .00000     65.000     .00000    
Hold 165.Queue.NumberInQueue                .28179     (Insuf)    .00000     2.0000     .00000    
Hold 124.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 109.Queue.NumberInQueue                .00198     (Insuf)    .00000     1.0000     .00000    
Process 37.Queue.NumberInQueue              10.852     (Insuf)    .00000     29.000     1.0000    
Batch 28.Queue.NumberInQueue                .21584     (Insuf)    .00000     32.000     .00000    
Hold 38.Queue.NumberInQueue                 .43298     (Insuf)    .00000     78.000     .00000    
Process 60.Queue.NumberInQueue              .03188     (Insuf)    .00000     1.0000     .00000    
Hold 140.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Match 7.Queue1.NumberInQueue                .10022     (Insuf)    .00000     27.000     .00000    
Match 7.Queue2.NumberInQueue                .45250     (Insuf)    .00000     78.000     .00000    
Match 7.Queue3.NumberInQueue                .41098     (Insuf)    .00000     73.000     .00000    
Hold 54.Queue.NumberInQueue                 .90982     (Insuf)    .00000     1.0000     1.0000    
Hold 145.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 104.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 32.Queue.NumberInQueue              .51861     .60149     .00000     20.000     .00000    
Batch 23.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 62.Queue.NumberInQueue                 9.5130     (Insuf)    .00000     34.000     .00000    
Hold 153.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 112.Queue.NumberInQueue                5.3449     (Insuf)    .00000     34.000     .00000    
Hold 59.Queue.NumberInQueue                 20.957     (Insuf)    .00000     34.000     .00000    
Process 81.Queue.NumberInQueue              6.1223     (Insuf)    .00000     15.000     8.0000    
Process 66.Queue.NumberInQueue              .26792     (Insuf)    .00000     3.0000     .00000    
Process 25.Queue.NumberInQueue              .87621     (Corr)     .00000     2.0000     .00000    
Batch 31.Queue.NumberInQueue                135.34     (Insuf)    .00000     800.00     .00000    
Batch 16.Queue.NumberInQueue                .16762     (Insuf)    .00000     24.000     7.0000    
Hold 161.Queue.NumberInQueue                .41131     (Insuf)    .00000     2.0000     .00000    
Hold 120.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 26.Queue.NumberInQueue                 .07725     (Insuf)    .00000     60.000     .00000    
Hold 158.Queue.NumberInQueue                1.0765     (Insuf)    .00000     5.0000     .00000    
Hold 117.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 34.Queue.NumberInQueue                 .94306     (Insuf)    .00000     1.0000     1.0000    
Batch 29.Queue.NumberInQueue                1.8275     (Insuf)    .00000     30.000     .00000    
Hold 133.Queue.NumberInQueue                4.4744     (Insuf)    .00000     34.000     .00000    
Hold 39.Queue.NumberInQueue                 .08070     (Insuf)    .00000     44.000     .00000    
Process 61.Queue.NumberInQueue              .00649     (Insuf)    .00000     1.0000     .00000    
Hold 138.Queue.NumberInQueue                7.9491E-04 (Insuf)    .00000     3.0000     .00000    
Hold 55.Queue.NumberInQueue                 .89921     (Insuf)    .00000     1.0000     1.0000    
Hold 105.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 33.Queue.NumberInQueue              1.5529     (Insuf)    .00000     7.0000     .00000    
Batch 24.Queue.NumberInQueue                12.946     (Insuf)    .00000     112.00     .00000    
Hold 154.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 113.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 1.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Process 82.Queue.NumberInQueue              2.3131     (Insuf)    .00000     9.0000     7.0000    
Batch 32.Queue.NumberInQueue                104.09     (Insuf)    .00000     750.00     .00000    
Hold 83.Queue.NumberInQueue                 .15037     (Insuf)    .00000     1.0000     .00000    
Hold 42.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 27.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 118.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 50.Queue.NumberInQueue                 6.7795     (Corr)     .00000     49.000     .00000    
Hold 141.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 167.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 100.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 62.Queue.NumberInQueue              .15179     (Insuf)    .00000     2.0000     1.0000    
Hold 63.Queue.NumberInQueue                 45.371     (Insuf)    .00000     126.00     122.00    
Hold 48.Queue.NumberInQueue                 6.0427     (Corr)     .00000     48.000     .00000    
Hold 139.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 67.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 26.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 17.Queue.NumberInQueue                .26109     (Insuf)    .00000     28.000     .00000    
Hold 162.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 121.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 147.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 106.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 34.Queue.NumberInQueue              9.6789     (Insuf)    .00000     66.000     .00000    
Batch 25.Queue.NumberInQueue                42.353     (Insuf)    .00000     212.00     .00000    
Process 2.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Batch 33.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 84.Queue.NumberInQueue                 .31414     (Corr)     .00000     1.0000     .00000    
Hold 134.Queue.NumberInQueue                2.9068     (Insuf)    .00000     30.000     .00000    
Hold 119.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 92.Queue.NumberInQueue                 .05781     (Insuf)    .00000     1.0000     .00000    
Hold 51.Queue.NumberInQueue                 .65886     (Insuf)    .00000     1.0000     1.0000    
Hold 142.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 101.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Batch 20.Queue.NumberInQueue                27.548     (Corr)     .00000     268.00     .00000    
Hold 150.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 56.Queue.NumberInQueue                 .00734     (Insuf)    .00000     1.0000     .00000    
Hold 155.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 114.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 68.Queue.NumberInQueue              .16506     (Insuf)    .00000     2.0000     .00000    
Process 27.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 18.Queue.NumberInQueue                2.9342     (Insuf)    .00000     128.00     .00000    
Hold 31.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 163.Queue.NumberInQueue                .40139     (Insuf)    .00000     1.0000     .00000    
Hold 122.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 76.Queue.NumberInQueue              4.8510     (Insuf)    .00000     19.000     .00000    
Batch 26.Queue.NumberInQueue                15.539     (Insuf)    .00000     196.00     .00000    
Batch 6.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 135.Queue.NumberInQueue                2.6397     (Insuf)    .00000     26.000     .00000    
Process 63.Queue.NumberInQueue              .00247     (Insuf)    .00000     1.0000     .00000    
Process 22.Queue.NumberInQueue              72.468     (Corr)     .00000     348.00     .00000    
