
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Balanza1.NumberBusy                         1.0000     (Insuf)    .00000     1.0000     1.0000    
Balanza1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Balanza1.Utilization                        1.0000     (Insuf)    .00000     1.0000     1.0000    
balanza2.NumberBusy                         .98958     (Insuf)    .00000     1.0000     1.0000    
balanza2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
balanza2.Utilization                        .98958     (Insuf)    .00000     1.0000     1.0000    
InspeccionF.NumberBusy                      .19030     (Insuf)    .00000     1.0000     .00000    
InspeccionF.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionF.Utilization                     .19030     (Insuf)    .00000     1.0000     .00000    
InspeccionQ.NumberBusy                      .58757     (Insuf)    .00000     1.0000     .00000    
InspeccionQ.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionQ.Utilization                     .58757     (Insuf)    .00000     1.0000     .00000    
Pellet 16.NumberBusy                        2.7611     (Insuf)    .00000     3.0000     3.0000    
Pellet 16.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 16.Utilization                       .92037     (Insuf)    .00000     1.0000     1.0000    
Pellet 17.NumberBusy                        2.7507     (Insuf)    .00000     3.0000     3.0000    
Pellet 17.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 17.Utilization                       .91691     (Insuf)    .00000     1.0000     1.0000    
Llenado.NumberBusy                          .44725     (Insuf)    .00000     1.0000     1.0000    
Llenado.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Llenado.Utilization                         .44725     (Insuf)    .00000     1.0000     1.0000    
Empaque1.NumberBusy                         .59722     (Insuf)    .00000     1.0000     .00000    
Empaque1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Empaque1.Utilization                        .59722     (Insuf)    .00000     1.0000     .00000    
Empaque2.NumberBusy                         .40278     (Insuf)    .00000     1.0000     .00000    
Empaque2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Empaque2.Utilization                        .40278     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberBusy                          .10347     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino1.Utilization                         .10347     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberBusy                          .09028     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino2.Utilization                         .09028     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberBusy                          .08472     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino3.Utilization                         .08472     (Insuf)    .00000     1.0000     .00000    
Pellet 67.NumberBusy                        .63605     (Insuf)    .00000     2.0000     1.0000    
Pellet 67.NumberScheduled                   2.0000     (Insuf)    2.0000     2.0000     2.0000    
Pellet 67.Utilization                       .31802     (Insuf)    .00000     1.0000     .50000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 60.Queue.NumberInQueue                 27.262     (Insuf)    .00000     34.000     28.000    
Hold 151.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 110.Queue.NumberInQueue                28.949     (Insuf)    .00000     34.000     34.000    
Hold 136.Queue.NumberInQueue                21.371     (Insuf)    .00000     26.000     26.000    
Process 64.Queue.NumberInQueue              .78693     (Insuf)    .00000     5.0000     5.0000    
Process 23.Queue.NumberInQueue              .87151     (Insuf)    .00000     2.0000     1.0000    
Hold 144.Queue.NumberInQueue                4.2458     (Insuf)    .00000     8.0000     6.0000    
Hold 103.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Batch 22.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 99.Queue.NumberInQueue                 .00180     (Insuf)    .00000     1.0000     .00000    
Hold 32.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 58.Queue.NumberInQueue                 15.476     (Insuf)    .00000     33.000     6.0000    
Hold 149.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 108.Queue.NumberInQueue                .15913     (Insuf)    .00000     1.0000     .00000    
Process 77.Queue.NumberInQueue              2.7181     (Insuf)    .00000     16.000     .00000    
Process 36.Queue.NumberInQueue              .00865     (Insuf)    .00000     2.0000     .00000    
Batch 27.Queue.NumberInQueue                12.695     (Insuf)    .00000     212.00     .00000    
Hold 40.Queue.NumberInQueue                 2.6548     (Insuf)    .00000     108.00     .00000    
Hold 157.Queue.NumberInQueue                .03965     (Insuf)    .00000     1.0000     .00000    
Hold 116.Queue.NumberInQueue                .06576     (Insuf)    .00000     2.0000     .00000    
Hold 86.Queue.NumberInQueue                 .86375     (Corr)     .00000     1.0000     1.0000    
Hold 94.Queue.NumberInQueue                 .05280     (Insuf)    .00000     1.0000     .00000    
Hold 53.Queue.NumberInQueue                 .79567     (Insuf)    .00000     1.0000     1.0000    
Hold 61.Queue.NumberInQueue                 27.130     (Insuf)    .00000     34.000     28.000    
Hold 152.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 111.Queue.NumberInQueue                27.420     (Insuf)    .00000     34.000     28.000    
Hold 137.Queue.NumberInQueue                19.071     (Insuf)    .00000     26.000     26.000    
Process 65.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 24.Queue.NumberInQueue              202.96     (Corr)     .00000     355.00     132.00    
Batch 30.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 160.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 25.Queue.NumberInQueue                 .25025     (Insuf)    .00000     65.000     .00000    
Hold 165.Queue.NumberInQueue                .17558     (Insuf)    .00000     1.0000     .00000    
Hold 124.Queue.NumberInQueue                .09987     (Insuf)    .00000     2.0000     .00000    
Hold 109.Queue.NumberInQueue                .60520     (Insuf)    .00000     1.0000     .00000    
Process 37.Queue.NumberInQueue              2.4943     (Insuf)    .00000     11.000     .00000    
Batch 28.Queue.NumberInQueue                .20250     (Insuf)    .00000     32.000     .00000    
Hold 38.Queue.NumberInQueue                 .36476     (Insuf)    .00000     71.000     .00000    
Process 60.Queue.NumberInQueue              .82997     (Insuf)    .00000     5.0000     5.0000    
Hold 140.Queue.NumberInQueue                21.610     (Insuf)    .00000     27.000     27.000    
Match 7.Queue1.NumberInQueue                2.4371     (Insuf)    .00000     108.00     .00000    
Match 7.Queue2.NumberInQueue                2.5866     (Insuf)    .00000     108.00     .00000    
Match 7.Queue3.NumberInQueue                .14709     (Insuf)    .00000     51.000     .00000    
Hold 54.Queue.NumberInQueue                 .90972     (Insuf)    .00000     1.0000     1.0000    
Hold 145.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 104.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 32.Queue.NumberInQueue              28.543     (Corr)     .00000     48.000     48.000    
Batch 23.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 62.Queue.NumberInQueue                 25.757     (Insuf)    .00000     34.000     28.000    
Hold 153.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 112.Queue.NumberInQueue                26.673     (Insuf)    .00000     34.000     34.000    
Hold 59.Queue.NumberInQueue                 28.574     (Insuf)    .00000     34.000     33.000    
Process 81.Queue.NumberInQueue              1.1772     (Insuf)    .00000     9.0000     7.0000    
Process 66.Queue.NumberInQueue              .79479     (Insuf)    .00000     5.0000     5.0000    
Process 25.Queue.NumberInQueue              .95360     (Corr)     .00000     2.0000     1.0000    
Batch 31.Queue.NumberInQueue                135.97     (Insuf)    .00000     800.00     .00000    
Batch 16.Queue.NumberInQueue                .16863     (Insuf)    .00000     24.000     .00000    
Hold 161.Queue.NumberInQueue                .15613     (Insuf)    .00000     2.0000     .00000    
Hold 120.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 26.Queue.NumberInQueue                 .14653     (Insuf)    .00000     59.000     .00000    
Hold 158.Queue.NumberInQueue                .15613     (Insuf)    .00000     2.0000     .00000    
Hold 117.Queue.NumberInQueue                .70935     (Insuf)    .00000     3.0000     .00000    
Hold 34.Queue.NumberInQueue                 .91528     (Insuf)    .00000     1.0000     1.0000    
Batch 29.Queue.NumberInQueue                1.5049     (Insuf)    .00000     30.000     .00000    
Hold 133.Queue.NumberInQueue                25.175     (Insuf)    .00000     33.000     28.000    
Hold 39.Queue.NumberInQueue                 .21528     (Insuf)    .00000     69.000     .00000    
Process 61.Queue.NumberInQueue              .33109     (Insuf)    .00000     1.0000     1.0000    
Hold 138.Queue.NumberInQueue                19.786     (Insuf)    .00000     26.000     26.000    
Hold 55.Queue.NumberInQueue                 .89653     (Insuf)    .00000     1.0000     1.0000    
Hold 105.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 33.Queue.NumberInQueue              36.507     (Corr)     .00000     51.000     51.000    
Batch 24.Queue.NumberInQueue                12.327     (Insuf)    .00000     212.00     .00000    
Hold 154.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 113.Queue.NumberInQueue                .00182     (Insuf)    .00000     2.0000     .00000    
Process 1.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Process 82.Queue.NumberInQueue              .56674     (Insuf)    .00000     7.0000     6.0000    
Batch 32.Queue.NumberInQueue                86.971     (Insuf)    .00000     750.00     .00000    
