
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 49.Queue.WaitingTime                   .07392     .05961     .00000     8.4378        379    
Batch 21.Queue.WaitingTime                  .44577     (Insuf)    .00000     .84874         24    
Hold 98.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          2    
Hold 57.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000         66    
Hold 148.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 107.Queue.WaitingTime                  16.059     (Insuf)    10.262     21.856          2    
Hold 156.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 115.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         28    
Process 69.Queue.WaitingTime                1.7589     (Insuf)    .00000     10.553          6    
Process 28.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         83    
Match 6.Queue1.WaitingTime                  .02213     (Corr)     .00000     .06648        419    
Match 6.Queue2.WaitingTime                  .07233     (Corr)     .00000     .87806        419    
Match 6.Queue3.WaitingTime                  .10724     (Corr)     .00000     .87806        419    
Batch 19.Queue.WaitingTime                  4.9445     (Insuf)    .00000     7.0335         64    
Hold 123.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000        140    
Hold 93.Queue.WaitingTime                   .20255     (Insuf)    .01667     2.3237         38    
Hold 52.Queue.WaitingTime                   1.7659     (Corr)     .00000     4.8333        518    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

CapArconPASoya Value                        48.325     (Insuf)    48.325     48.325     48.325    
CapArconPAMaiz Value                        42.246     (Insuf)    42.246     42.246     42.246    
CapArconPAFrijol Value                      45.974     (Insuf)    45.974     45.974     45.974    
estado pellet 16                            .02848     (Insuf)    .00000     1.0000     .00000    
estado mezcladora1                          .02515     (Insuf)    .00000     1.0000     .00000    
estado mezcladora2                          .31840     (Corr)     .00000     1.0000     .00000    
estado molino1                              .02221     (Insuf)    .00000     1.0000     .00000    
estado molino2                              .05763     (Insuf)    .00000     1.0000     .00000    
estadopellet 17                             .00129     (Insuf)    .00000     1.0000     .00000    
estado pellet 67                            1.3947E-04 (Insuf)    .00000     1.0000     .00000    
Entity 1.WIP                                2892.2     (Corr)     .00000     4113.0     2476.0    
Entity 2.WIP                                .00000     (Insuf)    .00000     .00000     .00000    
Mezcladora1.NumberBusy                      .97485     (Insuf)    .00000     1.0000     1.0000    
Mezcladora1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora1.Utilization                     .97485     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberBusy                      1.2458     (Corr)     .00000     2.0000     2.0000    
Mezcladora2.NumberScheduled                 2.0000     (Insuf)    2.0000     2.0000     2.0000    
Mezcladora2.Utilization                     .62291     (Corr)     .00000     1.0000     1.0000    
