SIMAN Run Controller.

1.25 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/27/2016
Analyst: Rockwell Automation                                         Model revision date:10/27/2016

Replication ended at time      : 1.25 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Hold 50.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    
Batch 12.Queue.NumberInQueue                .52000     (Insuf)    .00000     3.0000     1.0000    
Hold 48.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    
Process 26.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 34.Queue.NumberInQueue              .41333     (Insuf)    .00000     3.0000     1.0000    
Process 2.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Hold 51.Queue.NumberInQueue                 1.0000     (Insuf)    .00000     1.0000     1.0000    
Hold 56.Queue.NumberInQueue                 .14667     (Insuf)    .00000     1.0000     1.0000    
Process 27.Queue.NumberInQueue              .46667     (Insuf)    .00000     1.0000     1.0000    
Hold 31.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Batch 6.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Process 22.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 13.Queue.NumberInQueue                .00000     (Insuf)    .00000     2.0000     .00000    
Hold 49.Queue.NumberInQueue                 1.0000     (Insuf)    .00000     1.0000     1.0000    
Process 28.Queue.NumberInQueue              .53333     (Insuf)    .00000     1.0000     .00000    
Match 6.Queue1.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Match 6.Queue2.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Match 6.Queue3.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 52.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Entity 1.NumberIn                           345.00    
Entity 1.NumberOut                          126.00    
Entity 2.NumberIn                           .00000    
Entity 2.NumberOut                          .00000    
Mezcladora1.NumberSeized                    .00000    
Mezcladora1.ScheduledUtilization            .00000    
Mezcladora2.NumberSeized                    24.000    
Mezcladora2.ScheduledUtilization            .96000    
Balanza1.NumberSeized                       .00000    
Balanza1.ScheduledUtilization               .00000    
balanza2.NumberSeized                       25.000    
balanza2.ScheduledUtilization               1.0000    
Resource 3.NumberSeized                     .00000    
Pellet 16.NumberSeized                      14.000    
Pellet 16.ScheduledUtilization              .92000    
