SIMAN Run Controller.

0.00016666667 Hours>SIMAN Run Controller.

0.26683333 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 0.26683333 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Entity 2.WIP                                .00000     (Insuf)    .00000     .00000     .00000    
Mezcladora1.NumberBusy                      .81199     (Insuf)    .00000     1.0000     1.0000    
Mezcladora1.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora1.Utilization                     .81199     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberBusy                      .81199     (Insuf)    .00000     1.0000     1.0000    
Mezcladora2.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Mezcladora2.Utilization                     .81199     (Insuf)    .00000     1.0000     1.0000    
Balanza1.NumberBusy                         .99938     (Insuf)    .00000     1.0000     1.0000    
Balanza1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Balanza1.Utilization                        .99938     (Insuf)    .00000     1.0000     1.0000    
balanza2.NumberBusy                         .99938     (Insuf)    .00000     1.0000     1.0000    
balanza2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
balanza2.Utilization                        .99938     (Insuf)    .00000     1.0000     1.0000    
Resource 3.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
InspeccionF.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
InspeccionF.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionF.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
InspeccionQ.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
InspeccionQ.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionQ.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Pellet 16.NumberBusy                        .62461     (Insuf)    .00000     1.0000     1.0000    
Pellet 16.NumberScheduled                   1.0000     (Insuf)    1.0000     1.0000     1.0000    
Pellet 16.Utilization                       .62461     (Insuf)    .00000     1.0000     1.0000    
Pellet 17.NumberBusy                        .62461     (Insuf)    .00000     1.0000     1.0000    
Pellet 17.NumberScheduled                   1.0000     (Insuf)    1.0000     1.0000     1.0000    
Pellet 17.Utilization                       .62461     (Insuf)    .00000     1.0000     1.0000    
Llenado.NumberBusy                          .00000     (Insuf)    .00000     .00000     .00000    
Llenado.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Llenado.Utilization                         .00000     (Insuf)    .00000     .00000     .00000    
Molino1.NumberBusy                          1.0000     (Insuf)    .00000     1.0000     1.0000    
Molino1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino1.Utilization                         1.0000     (Insuf)    .00000     1.0000     1.0000    
Molino2.NumberBusy                          .62461     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberBusy                          1.0000     (Insuf)    .00000     1.0000     1.0000    
Molino3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino3.Utilization                         1.0000     (Insuf)    .00000     1.0000     1.0000    
Pellet 67.NumberBusy                        .00000     (Insuf)    .00000     .00000     .00000    
Pellet 67.NumberScheduled                   1.0000     (Insuf)    1.0000     1.0000     1.0000    
Pellet 67.Utilization                       .00000     (Insuf)    .00000     .00000     .00000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 60.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 110.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 136.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 23.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Hold 103.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Batch 22.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 99.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 32.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
