SIMAN Run Controller.

2399.2667 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/28/2016
Analyst: Rockwell Automation                                         Model revision date:10/28/2016

Replication ended at time      : 2399.2667 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Hold 73.Queue.NumberInQueue                 27.922     (Insuf)    .00000     28.000     28.000    
Hold 32.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 58.Queue.NumberInQueue                 29.975     (Insuf)    .00000     36.000     30.000    
Hold 81.Queue.NumberInQueue                 1.0000     (Insuf)    .00000     1.0000     1.0000    
Hold 40.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 86.Queue.NumberInQueue                 .00130     (Insuf)    .00000     1.0000     .00000    
Hold 94.Queue.NumberInQueue                 4.3763E-04 (Insuf)    .00000     1.0000     .00000    
Hold 53.Queue.NumberInQueue                 .99999     (Insuf)    .00000     1.0000     1.0000    
Hold 79.Queue.NumberInQueue                 1.0000     (Insuf)    .00000     1.0000     1.0000    
Hold 61.Queue.NumberInQueue                 16.967     (Insuf)    .00000     28.000     17.000    
Process 24.Queue.NumberInQueue              .09435     (Insuf)    .00000     64.000     .00000    
Batch 15.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 66.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 25.Queue.NumberInQueue                 .00146     (Insuf)    .00000     42.000     .00000    
Hold 74.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 82.Queue.NumberInQueue                 1.0000     (Insuf)    .00000     1.0000     1.0000    
Hold 38.Queue.NumberInQueue                 .00354     (Insuf)    .00000     51.000     .00000    
Match 7.Queue1.NumberInQueue                .00108     (Insuf)    .00000     31.000     .00000    
Match 7.Queue2.NumberInQueue                .00139     (Insuf)    .00000     20.000     .00000    
Match 7.Queue3.NumberInQueue                .00462     (Insuf)    .00000     51.000     .00000    
